"10436623","911149","-724","manueel"
"10212060","984530","1651","manueel"
"10212060","984530","-1201","manueel"
"10008489","928415","-1200","manueel"
"10057961","917931","-1200","manueel"
"10944628","960960","-1200","manueel"
"11001313","963779","1","manueel"
"11031934","970986","1","manueel"
"10998419","917569","1","manueel"
"10613071","930361","1","manueel"
"11077353","912779","1","manueel"
"11081960","945013","1","manueel"
"11005042","971136","3551","prijs in 5001_8(50)"
"11005042","971136","150","5001_8"
"10403200","958356","2400","prijs in 5001_8(1201)"
"10403200","958356","50","5001_8"
"10967603","960442","1201","prijs in 5001_5(0)"
"10967603","960442","50","5001_5"
"10430956","933858","2400","prijs in 5001_8(1201)"
"10430956","933858","50","5001_6"
"10430956","933858","50","5001_8"
"10791992","954895","1200","prijs in 5001_7(1201)"
"10791992","954895","50","5001_7"
"10423017","986289","1201","prijs in 5001_5(0)"
"10423017","986289","50","5001_5"
"10401453","984984","2400","prijs in 5001_8(1201)"
"10401453","984984","50","5001_8"
"10460647","980968","50","5001_4"
"10061355","973309","1200","prijs in 5001_7(1201)"
"10061355","973309","200","5001_7"
"10440276","950360","1151","prijs in 5001_5(1250)"
"10440276","950360","100","5001_5"
"10421024","989192","50","5001_4"
"10084015","954238","1201","prijs in 5001_7(0)"
"10084015","954238","50","5001_7"
"11005042","947268","2400","prijs in 5001_8(1201)"
"11005042","947268","50","5001_8"
"10460571","978186","1200","prijs in 5001_5(1201)"
"10460571","978186","75","5001_5"
"10433365","985544","50","5001_4"
"10050931","970188","1201","prijs in 5001_7(0)"
"10050931","970188","50","5001_7"
"10435934","957334","1200","prijs in 5001_5(1201)"
"10435934","957334","50","5001_5"
"10460647","972569","1201","prijs in 5001_6(0)"
"10460647","972569","50","5001_6"
"11005042","977665","2400","prijs in 5001_8(1201)"
"11005042","977665","100","5001_8"
"10405019","965122","1200","prijs in 5001_7(1201)"
"10405019","965122","50","5001_7"
"11005042","967592","1201","prijs in 5001_7(0)"
"11005042","967592","100","5001_7"
"10978108","983020","1201","prijs in 5001_8(0)"
"10978108","983020","50","5001_8"
"10432106","986132","200","5001_4"
"10440271","956958","1201","prijs in 5001_5(0)"
"10440271","956958","50","5001_5"
"10209856","971063","2400","prijs in 5001_6(1201)"
"10209856","971063","75","5001_5"
"10209856","971063","50","5001_6"
"10429216","963404","1200","prijs in 5001_7(1201)"
"10429216","963404","50","5001_7"
"10409727","982497","50","5001_4"
"10460571","978193","3551","prijs in 5001_6(50)"
"10460571","978193","50","5001_5"
"10460571","978193","50","5001_6"
"10080271","981918","1201","prijs in 5001_8(0)"
"10080271","981918","50","5001_8"
"10460571","978190","1201","prijs in 5001_6(0)"
"10460571","978190","50","5001_6"
"10212257","981707","75","5001_4"
"10075971","923140","701","prijs in 5001_7(1700)"
"10075971","923140","150","5001_7"
"10401453","935389","1200","prijs in 5001_7(1201)"
"10401453","935389","75","5001_7"
"10212439","980195","50","5001_4"
"10215335","942038","1200","prijs in 5001_7(1201)"
"10215335","942038","50","5001_7"
"10428561","947639","1200","prijs in 5001_7(1201)"
"10428561","947639","150","5001_7"
"10401453","954276","2400","prijs in 5001_8(1201)"
"10401453","954276","50","5001_8"
"10433016","978692","50","5001_4"
"10432105","957980","1201","prijs in 5001_5(0)"
"10432105","957980","50","5001_5"
"10400261","964141","1201","prijs in 5001_8(0)"
"10400261","964141","50","5001_8"
"10050897","974372","1200","prijs in 5001_7(1201)"
"10050897","974372","50","5001_7"
"10432115","953823","1201","prijs in 5001_8(0)"
"10432115","953823","50","5001_8"
"10090975","931320","1201","prijs in 5001_8(0)"
"10090975","931320","50","5001_8"
"10212653","978694","2400","prijs in 5001_6(1201)"
"10212653","978694","50","5001_6"
"10066299","959024","1201","prijs in 5001_8(0)"
"10066299","959024","50","5001_8"
"10440276","978228","50","5001_4"
"10400261","984727","1201","prijs in 5001_7(0)"
"10400261","984727","50","5001_5"
"10400261","984727","50","5001_7"
"10053177","907668","2400","prijs in 5001_6(1201)"
"10053177","907668","50","5001_6"
"11001514","973074","1200","prijs in 5001_7(1201)"
"11001514","973074","50","5001_7"
"10400261","984899","50","5001_4"
"10475052","970280","2400","prijs in 5001_8(1201)"
